,Onset Timestamp,Onset Flux,Threshold Timestamp,Threshold Flux,Peak Timestamp,Peak Flux,End Timestamp,End Flux,Storm Duration
29,2001-04-18 02:00:00,1.7943925909427618,2001-04-18 03:00:00,11.019740057524853,2001-04-18 09:00:00,171.16124931590358,2001-04-20 21:00:00,1.960131404010142,2 days 19:00:00
30,2001-05-07 13:00:00,0.04260579000567115,2001-05-07 16:00:00,12.587695946273874,2001-05-08 00:00:00,28.193319415419783,2001-05-09 00:00:00,1.4208311750312004,1 days 11:00:00
31,2001-06-15 15:00:00,0.0027848228288453736,2001-06-15 17:00:00,14.09144826142564,2001-06-15 19:00:00,24.89800247866352,2001-06-17 08:00:00,1.938734184016285,1 days 17:00:00
32,2001-08-10 08:00:00,0.9408574343574925,2001-08-10 10:00:00,10.997060593017471,2001-08-10 11:00:00,13.744251279149893,2001-08-10 16:00:00,1.229401303553388,0 days 08:00:00
33,2001-08-16 00:00:00,0.052289010036694464,2001-08-16 02:00:00,60.002919755923024,2001-08-16 12:00:00,228.3074031924259,2001-08-21 05:00:00,1.985888987362178,5 days 05:00:00
34,2001-09-24 09:00:00,0.0014786782117760405,2001-09-24 14:00:00,53.0518849463345,2001-09-25 21:00:00,1549.1473068880198,2001-10-08 23:00:00,1.9666597504755041,14 days 14:00:00
36,2001-09-30 20:00:00,3.8110754642934896,2001-10-01 13:00:00,22.238942445326607,2001-10-02 06:00:00,805.7124593344008,2001-10-08 23:00:00,1.9666597504755041,8 days 03:00:00
37,2001-11-04 16:00:00,0.0013040563430066548,2001-11-04 18:00:00,174.89127163019452,2001-11-05 18:00:00,2002.2754638428246,2001-11-12 00:00:00,1.2337123711722648,7 days 08:00:00
38,2001-11-22 21:00:00,0.3502134748025819,2001-11-23 01:00:00,50.402349196774736,2001-11-24 05:00:00,2943.157550880017,2001-11-29 03:00:00,1.937274852367794,6 days 06:00:00
39,2001-12-26 05:00:00,0.021781432423319896,2001-12-26 07:00:00,163.71044370948326,2001-12-26 10:00:00,455.31553733224115,2002-01-06 08:00:00,1.9983537223110872,11 days 03:00:00
40,2001-12-29 00:00:00,2.626486545571168,2001-12-29 05:00:00,11.06403916521187,2001-12-29 07:00:00,23.0433166520318,2002-01-06 08:00:00,1.9983537223110872,8 days 08:00:00
41,2001-12-30 11:00:00,3.970425841611655,2001-12-30 21:00:00,13.959023880004375,2001-12-31 13:00:00,47.39413354161662,2002-01-06 08:00:00,1.9983537223110872,6 days 21:00:00
43,2002-01-10 14:00:00,1.8424772141078092,2002-01-10 20:00:00,11.250470707625922,2002-01-11 01:00:00,67.58547246986151,2002-01-18 00:00:00,1.9567024140712357,7 days 10:00:00
