horizon,mae,persist_mae,r2,mse,model_lag,persist_lag,predictve_efficiency
<<<<<<< HEAD
t=6,0.3757867723166907,0.3362216665332308,0.80102145860218,0.921433814526633,0.0,0.0,0.80102145860218
t=12,0.5942229220495269,0.5510950838250268,0.57038101218353,1.9894882129291664,0.5625,0.0625,0.57038101218353
=======
t=6,0.4324838671256022,0.3504187582221338,0.8136634600844224,1.0258215696254827,0.0,0.0,0.8136634600844224
t=12,0.6219630167539606,0.5576330679422719,0.6253707456650511,2.0624122884519327,0.0,0.125,0.6253707456650511
>>>>>>> b140e5d7f3685e2935e0eaca4085869434747d56
