model_name,dim_value,batch_size,n_epoch,learning_rate,forecast_out,loss,o_r2,o_mse,o_mae,r_r2,r_mse,r_mae
M1-0001,32,32,1000,0.0005,6,0.04468,0.90,0.70,0.55,0.91,0.049,0.1696
M1-0002,32,32,1000,0.0005,12,0.05142,0.89,0.79,0.59,0.77,0.132,0.2638
