mae,persist_mae,r2,mse,model_lag,persist_lag,predictve_efficiency,model_name,forecast_out
0.3476210205888857,0.26130899885873266,0.8434184331204457,0.1832799343865465,3.3076923076923075,2.3076923076923075,0.8434184331204457,M1-0001-seed0,6
0.30162678219943717,0.26130899885873266,0.8735523031278754,0.14800800661216945,2.769230769230769,2.3076923076923075,0.8735523031278754,M1-0001-seed1,6
0.3297908065495242,0.26130899885873266,0.8541990935048559,0.17066108807356878,3.3846153846153846,2.3076923076923075,0.8541990935048559,M1-0001-seed2,6
0.34182608276943616,0.26130899885873266,0.8465722160158258,0.17958840712919516,3.3076923076923075,2.3076923076923075,0.8465722160158258,M1-0001-seed3,6
0.3392442464711148,0.26130899885873266,0.8491609383100982,0.17655828767328105,3.3076923076923075,2.3076923076923075,0.8491609383100982,M1-0001-seed4,6
0.3742864002265516,0.3612432708140095,0.7868357255375702,0.2612031093736037,3.6153846153846154,3.0,0.7868357255375702,M1-0002-seed0,12
0.3735161137067736,0.3612432708140095,0.7901993735338608,0.257081427550113,3.6153846153846154,3.0,0.7901993735338608,M1-0002-seed1,12
0.3822776603998423,0.3612432708140095,0.7813781324072306,0.2678906291230352,3.769230769230769,3.0,0.7813781324072306,M1-0002-seed2,12
0.3819263089206148,0.3612432708140095,0.7806267521150014,0.2688113409503208,3.6153846153846154,3.0,0.7806267521150014,M1-0002-seed3,12
0.39114219044180426,0.3612432708140095,0.7736107072777993,0.2774085260630859,3.6153846153846154,3.0,0.7736107072777995,M1-0002-seed4,12
