t,dataset,Average MAE,SE Average MAE (seeds),Average PE,SE Average PE (seeds),Average O2P lag,SE Average O2P lag (seeds),Average O2T lag,SE Average O2T lag (seeds),Average ln10 lag,SE Average ln10 lag (seeds)
6,0,0.333,0.005,0.616,0.01,5.222,0.103,3.867,0.151,0.6,0.231
12,0,0.579,0.009,0.115,0.019,9.545,0.317,7.089,0.244,2.322,0.862
