t,mean Average MAE,std Average MAE (across datasets),mean Average PE,std Average PE (across datasets),mean Average O2P lag,std Average O2P lag (across datasets),mean Average O2T lag,std Average O2T lag (across datasets),mean Average ln10 lag,std Average ln10 lag (across datasets)
6,0.333,0.0,0.616,0.0,5.222,0.0,3.867,0.0,0.6,0.0
12,0.579,0.0,0.115,0.0,9.545,0.0,7.089,0.0,2.322,0.0
