t,mean Average MAE,std Average MAE (across datasets),mean Average PE,std Average PE (across datasets),mean Average O2P lag,std Average O2P lag (across datasets),mean Average O2T lag,std Average O2T lag (across datasets),mean Average ln10 lag,std Average ln10 lag (across datasets)
6,0.492,0.187,0.519,0.294,4.53,0.575,3.651,0.711,1.426,2.554
12,0.794,0.337,0.025,0.492,8.352,1.144,6.985,1.446,2.984,5.965
